,State,mean_pct_read_seng15,Sanitation,Electricity,avg_unemploy_state,avg_houshold_size,year,month,day,is_holiday,is_weekday
5528,Katsina,16.7,72.25455046,68.10233593,19.45714286,5.92,2020,12,19,0,0
5073,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2020,01,02,0,1
1571,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2014,02,03,0,1
4079,Taraba,39.3,68.22679639,79.30859923,16.8,5.28,2018,03,15,0,1
1122,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,11,07,0,1
2786,Kogi,56.6,78.46921682,51.85519457,13.21428571,4.0,2015,09,25,0,1
2967,Yobe,19.2,76.13000274,65.68313241,17.48571429,5.72,2016,03,10,0,1
2504,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,04,05,0,0
3465,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2017,01,28,0,0
675,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2012,02,07,0,1
2808,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2015,10,13,0,1
3348,Kaduna,46.7,70.49760818,37.14220226,12.5,6.86,2016,11,13,0,0
728,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,02,29,0,1
412,Bayelsa,69.6,78.99032831,56.96880221,29.87142857,4.32,2011,01,13,0,1
3146,Benue,59.5,77.68107057,63.95312548,10.18571429,5.58,2016,06,21,0,1
1516,Enugu,64.6,68.00408363,28.17356884,19.55714286,4.26,2013,12,01,0,0
825,Adamawa,40.5,60.14161724575931,43.095502428373365,20.71428571,5.44,2012,04,26,0,1
3267,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,09,11,1,0
3974,Ekiti,64.9,74.38258529,26.09131336,13.65714286,3.48,2018,01,18,0,1
616,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2012,01,17,0,1
114,Bauchi,22.7,62.27546334,71.5275526,24.32857143,6.72,2005,05,05,0,1
417,Sokoto,15.0,59.36932564,61.00217104,10.21428571,5.36,2011,01,24,0,1
3069,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,05,14,0,0
1625,Bauchi,22.7,62.27546334,71.5275526,24.32857143,6.72,2014,03,03,0,1
5937,Oyo,57.9,77.89170742,31.05866313,10.3,4.18,2021,06,06,0,0
4185,Delta,61.5,61.91661954,27.63651907,15.68571429,3.88,2018,04,25,0,1
2896,Borno,23.6,47.87259102,34.11449492,13.48571429,5.3,2016,01,05,0,1
5671,Cross River,67.2,74.61053133,63.22547197,19.07142857,4.46,2021,02,25,0,1
2082,Nasarawa,49.4,60.14161724575931,43.095502428373365,9.428571429,5.28,2014,09,27,0,0
753,Gombe,29.2,56.97092414,56.9547236,19.62857143,5.98,2012,03,09,0,1
